都道府県,施設名,住所,place_id
東京,スターバックスコーヒー エトモ大井町店,日本、〒140-0014 東京都品川区大井１丁目１−１ エトモ大井町,ChIJ9eUDHn2KGGARbSx4l38t6no
東京,スターバックスコーヒー エトモ祐天寺店,日本、〒153-0052 東京都目黒区祐天寺２丁目１３−４ エトモ祐天寺,ChIJWcyXQ3aLGGARMAcoYeSRUys
東京,スターバックスコーヒー エミオ練馬店,日本、〒176-0001 東京都練馬区練馬１丁目３−５ エミオ練馬,ChIJc5xrB33tGGAR4_j73R20QCI
東京,スターバックスコーヒー お茶の水村田ビル店,日本、〒101-0062 東京都千代田区神田駿河台２丁目５ 村田ビルディング １F,ChIJ67ggdxeMGGAR5uSOMBBDfHU
東京,スターバックスコーヒー カレッタ汐留店,日本、〒105-0021 東京都港区東新橋１丁目８−２ カレッタ汐留,ChIJU0Gmy8KLGGARK45I89uFmgU
東京,スターバックスコーヒー グランスタ東京店,日本、〒100-0005 東京都千代田区丸の内１丁目９−１ JR東日本東京駅構内１F グランスタ東京 京葉ストリートエリア,ChIJO_90qEiLGGARdwILELCgPQo
東京,スターバックスコーヒー グランスタ八重洲店,日本、〒100-0005 東京都千代田区丸の内１丁目９−１ 東京駅八重洲中央口B１F グランスタ八重洲,ChIJM0IpZvyLGGARlatxOn6YceE
東京,スターバックスコーヒー ゲートシティ大崎店,日本、〒141-0032 東京都品川区大崎１丁目１１−１ ゲートシティ大崎,ChIJ5Y2CdvWKGGARKU5iJbTpW7Q
東京,スターバックスコーヒー シモキタエキウエ店,日本、〒155-0031 東京都世田谷区北沢２丁目２４−２ 小田急下北沢駅 シモキタエキウエ内,ChIJgR37t6TzGGARQFWn-pmaGTU
東京,スターバックスコーヒー シャポー小岩店,日本、〒133-0056 東京都江戸川区南小岩７丁目２４−１５,ChIJ6RwwnHGFGGARmIV4e7po4sI
東京,スターバックスコーヒー ダイバーシティ東京 プラザ店,日本、〒135-0064 東京都江東区青海１丁目１−１０ ダイバーシティ東京 プラザ 2階,ChIJ01wR2PmJGGARJDhec6mdtGU
東京,スターバックスコーヒー ビーンズ阿佐ヶ谷駅前店,日本、〒166-0004 東京都杉並区阿佐谷南３丁目５８−１ ビーンズ阿佐ヶ谷ぷらす,ChIJ42OtinbyGGARHCCBmQnvKQg
東京,スターバックスコーヒー マロニエゲート銀座1店,日本、〒104-0061 東京都中央区銀座２丁目２−１４ マロニエゲート銀座 1,ChIJxU96_-SLGGARs7YOu3npa-E
東京,スターバックスコーヒー ららぽーと豊洲 サウスポート2階店,日本、〒135-8614 東京都江東区豊洲２丁目４−９ ららぽーと,ChIJJ7Bpq5iJGGARCmgMgXE6TTE
東京,スターバックスコーヒー ルミネエスト新宿店,日本、〒160-0022 東京都新宿区新宿３丁目３８−１ ルミネエスト ２Ｆ,ChIJbzaabc-NGGARZFuzir15xIo
