都道府県,施設名,住所,place_id
東京,荒川区立町屋図書館,日本、〒116-0001 東京都荒川区町屋５丁目１１−１８,ChIJ9du5vA6OGGARrj8eZNGHR-0
東京,荒川区立図書館 ゆいの森あらかわ,日本、〒116-0002 東京都荒川区荒川２丁目５０−１,ChIJD0UF8G-OGGARy5oZMjEwzLw
東京,荒川区立中央図書館,日本、〒116-0002 東京都荒川区荒川４丁目２７−２ 荒川区立荒川図書館,ChIJfe65hXqOGGARjlDVZ_oer2c
東京,荒川区立南千住図書館,日本、〒116-0003 東京都荒川区南千住６丁目６３−１,ChIJ6T0UW16OGGAR1551Eez8ySw
東京,荒川区立尾久図書館,日本、〒116-0012 東京都荒川区東尾久８丁目４５−４,ChIJn_WwO6aNGGARvD576-K02is
東京,荒川区立日暮里図書館,日本、〒116-0014 東京都荒川区東日暮里６丁目３８−４,ChIJrRCF0XiOGGARwIH9Mgvw0QA
東京,足立区立やよい図書館,日本、〒120-0011 東京都足立区中央本町３丁目１５−１ 地域学習センタ 3階,ChIJT7PmCSyOGGARxraA1t-fqXU
東京,足立区立中央図書館,日本、〒120-0034 東京都足立区千住５丁目１３−５,ChIJGYxmFDiOGGAR1zxB4najZbg
東京,足立区立保塚図書館,日本、〒121-0072 東京都足立区保塚町７−１６ 保塚地域学習センター内,ChIJcXsPBi2QGGARJKEjB_eevOQ
東京,足立区立竹の塚図書館,日本、〒121-0813 東京都足立区竹の塚２丁目２５−１７,ChIJ6_MhQL6RGGAR-WV_xgKR2VA
東京,足立区立伊興図書館,日本、〒121-0823 東京都足立区伊興２丁目４−２２,ChIJdToQr4-RGGAR5sEYkuWl-Ws
東京,足立区立梅田図書館,日本、〒123-0851 東京都足立区梅田７丁目１３−１,ChIJGSOgLiSOGGAR01Yq301MMjc
東京,足立区立鹿浜図書館,日本、〒123-0864 東京都足立区鹿浜６丁目８−１ 地域学習センター内,ChIJvbHkpTCSGGARLnLPgZVtcno
東京,足立区立江北図書館,日本、〒123-0872 東京都足立区江北３丁目３９−４,ChIJ2wL1dz2SGGARhlujZf6nJqk
東京,葛飾区立こすげ地区図書館,日本、〒124-0001 東京都葛飾区小菅３丁目８−２２,ChIJdfMhZ6WPGGARxGgrlXqSBr0
東京,葛飾区立お花茶屋図書館,日本、〒124-0003 東京都葛飾区お花茶屋２丁目１−１５,ChIJ9eD673WPGGAR-Ck_sRfeMI0
東京,葛飾区立四つ木地区図書館,日本、〒124-0011 東京都葛飾区四つ木４丁目８−１ 1階,ChIJnw1-rWyPGGARDYhiuErb1Rc
東京,葛飾区立立石図書館,日本、〒124-0012 東京都葛飾区立石１丁目９−１ エコライフプラザ 1F,ChIJZdTHomePGGARiow4Zk7Tdv0
東京,葛飾区立上小松図書館,日本、〒124-0023 東京都葛飾区東新小岩３丁目１２−１ 都営東新小岩三丁目アパート １号棟 １階,ChIJJxehDQeGGGARdgKcNXwjfcY
東京,葛飾区立水元図書館,日本、〒125-0033 東京都葛飾区東水元１丁目７−３,ChIJ11dY_WiFGGAR7UmonirJtLg
東京,葛飾区立中央図書館,日本、〒125-0042 東京都葛飾区金町６丁目２−１ ３階 ブライトコート,ChIJ99RER3SFGGAR4HxI0f6yWyQ
東京,葛飾区立 鎌倉図書館,日本、〒125-0053 東京都葛飾区鎌倉２丁目４−５,ChIJOZ3o2cGFGGARcLrlUeVA4PE
東京,墨田区立東駒形コミュニティ会館図書室,日本、〒130-0005 東京都墨田区東駒形４丁目１４−１,ChIJiT_hCXuPGGARBAHzc61nmUI
東京,墨田区立緑図書館,日本、〒130-0021 東京都墨田区緑２丁目２４−５,ChIJx-vq0TOJGGARkSMgX6W9E8E
東京,墨田区立立花図書館,日本、〒131-0043 東京都墨田区立花６丁目８−１ 都営立花六丁目アパート１号棟 １０１,ChIJl47YkbWIGGARfoOFKuUK6JA
東京,江東区立東陽図書館,日本、〒135-0016 東京都江東区東陽２丁目３−６,ChIJ401UTFSIGGART1hESNBgn3E
東京,江東区立深川図書館,日本、〒135-0024 東京都江東区清澄３丁目３−３９,ChIJ878UkRWJGGARBG5SjCgHvzo
東京,江東区立豊洲図書館,日本、〒135-0061 東京都江東区豊洲２丁目２−１８ 豊洲シビックセンタ 9F・10F・11F,ChIJY_xXX6KJGGARNY8AK8Mn1ew
東京,江東区立東雲図書館,日本、〒135-0062 東京都江東区東雲２丁目７−５,ChIJ3cUP78iJGGARzh-wlMmNyFc
東京,港区立台場図書館,日本、〒135-0091 東京都港区台場１丁目５−１ 3階,ChIJ-wLSFm2JGGARhfaV1XUOvJ0
東京,江東区立東大島図書館,日本、〒136-0072 東京都江東区大島９丁目４−２,ChIJiz3JuJqIGGARr_rCJrZnk6Y
東京,江東区立砂町図書館,日本、〒136-0073 東京都江東区北砂５丁目１−７ 砂町文化センター,ChIJ448ZfPOIGGARBQFP01JJfwc
東京,江東区立江東図書館,日本、〒136-0076 東京都江東区南砂６丁目７−５２,ChIJU_Eg_l2IGGARhVs9hjuAzaQ
東京,品川区立品川図書館,日本、〒140-0001 東京都品川区北品川２丁目３２−３,ChIJH6vjqmiKGGAR0zmF7b8jo5M
東京,品川区立八潮図書館,日本、〒140-0003 東京都品川区八潮５丁目１０−２７,ChIJcSGjnd1hGGARx0BRftp5Tuk
